state,hasc,adm0_a3,_id,type,fips,capital,iso_a2,name,lng,lat
WV,US.WV.FA,USA,USA-WV-54019,County,54019,Fayetteville,US,"Fayette, West Virginia",-81.09660605313044,38.0375365
WV,US.WV.HM,USA,USA-WV-54027,County,54027,Romney,US,"Hampshire, West Virginia",-78.63524907940942,39.313609
WV,US.WV.JE,USA,USA-WV-54037,County,54037,Charles Town,US,"Jefferson, West Virginia",-77.86077665141293,39.316093
WV,US.WV.LE,USA,USA-WV-54041,County,54041,Weston,US,"Lewis, West Virginia",-80.49343747664321,38.949349999999995
WV,US.WV.LI,USA,USA-WV-54043,County,54043,Hamlin,US,"Lincoln, West Virginia",-82.08187872809137,38.1580955
WV,US.WV.ML,USA,USA-WV-54057,County,54057,Keyser,US,"Mineral, West Virginia",-78.86107456894676,39.44351
WV,US.WV.MA,USA,USA-WV-54065,County,54065,Berkeley Springs,US,"Morgan, West Virginia",-78.3006229175875,39.5435575
WV,US.WV.PE,USA,USA-WV-54071,County,54071,Franklin,US,"Pendleton, West Virginia",-79.34220823073834,38.675365
WV,US.WV.PO,USA,USA-WV-54075,County,54075,Marlinton,US,"Pocahontas, West Virginia",-79.98620501296745,38.387763500000005
WV,US.WV.TU,USA,USA-WV-54093,County,54093,Parsons,US,"Tucker, West Virginia",-79.57996872199942,39.117321000000004
