area,city,confirmed,died,cured,confirmedRelative,name,lat,lng
福建,福州,72,1,71,0,福州市,3008410.41130792,13281109.772091853
江苏,徐州,79,0,79,0,徐州市,4064008.697573911,13044953.487410132
江苏,扬州,23,0,23,0,扬州市,3815030.2222673926,13293885.242131472
江苏,宿迁,13,0,13,0,宿迁市,4023835.9846630176,13166330.805499172
江苏,镇江,12,0,12,0,镇江市,3790171.572945965,13297419.635963667
江苏,连云港,48,0,48,0,连云港市,4109657.1672686776,13266925.66521593
江苏,无锡,55,0,55,0,无锡市,3707615.745916744,13391919.86487983
江苏,泰州,37,0,37,0,泰州市,3827128.5747957327,13348896.328847598
江苏,盐城,27,0,27,0,盐城市,3945536.1043766183,13373923.39940324
江苏,淮安,66,0,66,0,淮安市,3974884.111723788,13249386.611526946
江苏,南通,40,0,40,0,南通市,3765438.89172717,13454586.615615726
江苏,南京,93,0,93,0,南京市,3768765.1584305596,13221127.936154025
江苏,常州,51,0,51,0,常州市,3733517.621118293,13352435.95469586
江苏,苏州,87,0,87,0,苏州市,3671690.5442406083,13427310.780026883
四川,遂宁,17,0,17,0,遂宁市,3569703.3080402487,11752146.807652226
四川,达州,42,0,42,0,达州市,3659984.6158641926,11967097.063299254
